ruri,ruri_user,ruri_domain,from_user,from_domain,from_tag,to_user,contact_user,callid,content_type,user_agent,source_ip,source_port,destination_port,contact_ip,contact_port,toll_fraud
sip:8801131203697460@13.57.9.131:5060;transport=UDP,8.80113E+15,13.57.9.131,8892525622,13.57.9.131,8oj9kpji,8.80113E+15,8892525622,8rEaC7AhMFxEK4dkivVerm..,application/sdp,Avaya one-X Deskphone,185.107.83.35,19460,5060,185.107.83.35,5060,1
sip:0110031203697460@13.57.9.131:5060;transport=UDP,110031203697460,13.57.9.131,8892525622,13.57.9.131,vmjsy7i0,110031203697460,8892525622,O0ZVjbrUYGUluXQTk95ajV..,application/sdp,Avaya one-X Deskphone,185.107.83.35,47706,5060,185.107.83.35,5060,1
sip:001131203697460@13.57.9.131:5060;transport=UDP,1131203697460,13.57.9.131,8892525622,13.57.9.131,0817gipw,1131203697460,8892525622,gtbtXorLcKwVOrPorNq0qC..,application/sdp,Avaya one-X Deskphone,185.107.83.35,38645,5060,185.107.83.35,5060,1
sip:9001131203697460@13.57.9.131:5060;transport=UDP,9.00113E+15,13.57.9.131,8892525622,13.57.9.131,w8k7d6yg,9.00113E+15,8892525622,I9b110PpCWVtkRdRsSMKGG..,application/sdp,Avaya one-X Deskphone,185.107.83.35,51834,5060,185.107.83.35,5060,1
sip:0001131203697460@13.57.9.131:5060;transport=UDP,1131203697460,13.57.9.131,8892525622,13.57.9.131,yu8hlffx,1131203697460,8892525622,9eCjZlExpjI99iBcvoxbHl..,application/sdp,Avaya one-X Deskphone,185.107.83.35,22846,5060,185.107.83.35,5060,1
sip:00131203697460@13.57.9.131:5060;transport=UDP,131203697460,13.57.9.131,8892525622,13.57.9.131,lv9lw1s8,131203697460,8892525622,MIhTZssvue4np3EKPmZLRk..,application/sdp,Avaya one-X Deskphone,185.107.83.35,27294,5060,185.107.83.35,5060,1
sip:931203697460@13.57.9.131:5060;transport=UDP,931203697460,13.57.9.131,8892525622,13.57.9.131,zslapwkj,931203697460,8892525622,zAzrvOF7jaUesNib0n1zjD..,application/sdp,Avaya one-X Deskphone,185.107.83.35,22486,5060,185.107.83.35,5060,1
sip:00231203697460@13.57.9.131:5060;transport=UDP,231203697460,13.57.9.131,8892525622,13.57.9.131,i1wbof4n,231203697460,8892525622,f63yVa4pFr6bToQBsL5e86..,application/sdp,Avaya one-X Deskphone,185.107.83.35,49156,5060,185.107.83.35,5060,1
sip:+931203697460@13.57.9.131:5060;transport=UDP,+931203697460,13.57.9.131,8892525622,13.57.9.131,06icgou5,+931203697460,8892525622,7GClGtwH5KCmVAI0CAb3wA..,application/sdp,Avaya one-X Deskphone,185.107.83.35,18479,5060,185.107.83.35,5060,1
sip:9+31203697460@13.57.9.131:5060;transport=UDP,9+31203697460,13.57.9.131,8892525622,13.57.9.131,g1r7kjb8,9+31203697460,8892525622,Id3BfpNmVz5ByNYPsK9KAr..,application/sdp,Avaya one-X Deskphone,185.107.83.35,47818,5060,185.107.83.35,5060,1
sip:9+0031203697460@13.57.9.131:5060;transport=UDP,9+0031203697460,13.57.9.131,8892525622,13.57.9.131,onfutzq7,9+0031203697460,8892525622,tn1O5WOlV1xNxNC9L3rvK4..,application/sdp,Avaya one-X Deskphone,185.107.83.35,9734,5060,185.107.83.35,5060,1
sip:900+31203697460@13.57.9.131:5060;transport=UDP,900+31203697460,13.57.9.131,8892525622,13.57.9.131,emfn57bw,900+31203697460,8892525622,fUiFF0L8yF5g4sacvt2duk..,application/sdp,Avaya one-X Deskphone,185.107.83.35,26162,5060,185.107.83.35,5060,1
sip:00931203697460@13.57.9.131:5060;transport=UDP,931203697460,13.57.9.131,8892525622,13.57.9.131,nimu2gtk,931203697460,8892525622,ZuOsV3sJHX3m1IpGrlWjdt..,application/sdp,Avaya one-X Deskphone,185.107.83.35,25713,5060,185.107.83.35,5060,1
sip:009+31203697460@13.57.9.131:5060;transport=UDP,009+31203697460,13.57.9.131,8892525622,13.57.9.131,l9sl7szz,009+31203697460,8892525622,geMuaFCAMFVg00RTaW8fKu..,application/sdp,Avaya one-X Deskphone,185.107.83.35,29674,5060,185.107.83.35,5060,1
sip:+131203697460@13.57.9.131:5060;transport=UDP,+131203697460,13.57.9.131,8892525622,13.57.9.131,9dop983n,+131203697460,8892525622,BwH3YUyU4OBcGzjT4FqKzn..,application/sdp,Avaya one-X Deskphone,185.107.83.35,45395,5060,185.107.83.35,5060,1
sip:1+31203697460@13.57.9.131:5060;transport=UDP,1+31203697460,13.57.9.131,8892525622,13.57.9.131,a57tkztz,1+31203697460,8892525622,r10xqT6c3oPquV3K6B8Hfr..,application/sdp,Avaya one-X Deskphone,185.107.83.35,13246,5060,185.107.83.35,5060,1
sip:1.31203697460@13.57.9.131:5060;transport=UDP,1.312036975,13.57.9.131,8892525622,13.57.9.131,egdzesqf,1.312036975,8892525622,mXGlj1KIvOWPSXODaDUQTE..,application/sdp,Avaya one-X Deskphone,185.107.83.35,23031,5060,185.107.83.35,5060,1
sip:01231203697460@13.57.9.131:5060;transport=UDP,1231203697460,13.57.9.131,8892525622,13.57.9.131,yy955zyt,1231203697460,8892525622,DKDQ0zHYiiGixdVNCo7foo..,application/sdp,Avaya one-X Deskphone,185.107.83.35,20079,5060,185.107.83.35,5060,1
sip:01101231203697460@13.57.9.131:5060;transport=UDP,1.10123E+15,13.57.9.131,8892525622,13.57.9.131,sdpqnv3i,1.10123E+15,8892525622,rTSFEBJevzzao8pmKF6dR1..,application/sdp,Avaya one-X Deskphone,185.107.83.35,26379,5060,185.107.83.35,5060,1
sip:901231203697460@13.57.9.131:5060;transport=UDP,901231203697460,13.57.9.131,8892525622,13.57.9.131,rjzmlsar,901231203697460,8892525622,PRazxCdIHQpau4Zckpk4Vs..,application/sdp,Avaya one-X Deskphone,185.107.83.35,51979,5060,185.107.83.35,5060,1
sip:0000031203697460@13.57.9.131:5060;transport=UDP,31203697460,13.57.9.131,8892525622,13.57.9.131,ffvrikwi,31203697460,8892525622,hmV0jU9010BiX4pzemQhWU..,application/sdp,Avaya one-X Deskphone,185.107.83.35,15219,5060,185.107.83.35,5060,1
sip:*31203697460@13.57.9.131:5060;transport=UDP,*31203697460,13.57.9.131,8892525622,13.57.9.131,3xdoi7r8,*31203697460,8892525622,XWIlJIZkrHMpBefTZrNjuD..,application/sdp,Avaya one-X Deskphone,185.107.83.35,35041,5060,185.107.83.35,5060,1
sip:*0031203697460@13.57.9.131:5060;transport=UDP,*0031203697460,13.57.9.131,8892525622,13.57.9.131,la0395e9,*0031203697460,8892525622,R8qKOAiysPP5pps8kRRySP..,application/sdp,Avaya one-X Deskphone,185.107.83.35,20716,5060,185.107.83.35,5060,1
sip:00*31203697460@13.57.9.131:5060;transport=UDP,00*31203697460,13.57.9.131,8892525622,13.57.9.131,vjpgum6z,00*31203697460,8892525622,OIcd1oy6LLkjDEQqQVN2J0..,application/sdp,Avaya one-X Deskphone,185.107.83.35,23822,5060,185.107.83.35,5060,1
sip:00972595041743@13.57.9.131,972595041743,13.57.9.131,1000,13.57.9.131,9f17d015,972595041743,1000,84999c5901b498eeb6a864c889f9bdf6,application/sdp,sipcli/v1.8,67.21.95.206,5070,5060,67.21.95.206,5070,1
sip:*+31203697460@13.57.9.131:5060;transport=UDP,*+31203697460,13.57.9.131,8892525622,13.57.9.131,y0zlz1kj,*+31203697460,8892525622,iASHV8ICQgPTmzxJpWNDhX..,application/sdp,Avaya one-X Deskphone,185.107.83.35,26055,5060,185.107.83.35,5060,1
sip:+*31203697460@13.57.9.131:5060;transport=UDP,+*31203697460,13.57.9.131,8892525622,13.57.9.131,vogti6p9,+*31203697460,8892525622,IdrnRFPudP55gbVppglUZQ..,application/sdp,Avaya one-X Deskphone,185.107.83.35,42902,5060,185.107.83.35,5060,1
sip:0031203697460@13.57.9.131:5060;transport=UDP,31203697460,13.57.9.131,8892525622,13.57.9.131,wd6ccl09,31203697460,8892525622,PNmi07au61QMeHu8HvBmeO..,application/sdp,Avaya one-X Deskphone,185.107.83.35,20666,5060,185.107.83.35,5060,1
sip:31203697460@13.57.9.131:5060;transport=UDP,31203697460,13.57.9.131,8892525622,13.57.9.131,f1kquynz,31203697460,8892525622,fiGTikUQIa1ivqyaajv4rJ..,application/sdp,Avaya one-X Deskphone,185.107.83.35,8187,5060,185.107.83.35,5060,1
sip:+31203697460@13.57.9.131:5060;transport=UDP,+31203697460,13.57.9.131,8892525622,13.57.9.131,oilwxt9u,+31203697460,8892525622,vfvEy1RgzFp0KHYtB7wGPc..,application/sdp,Avaya one-X Deskphone,185.107.83.35,51590,5060,185.107.83.35,5060,1
sip:01131203697460@13.57.9.131:5060;transport=UDP,1131203697460,13.57.9.131,8892525622,13.57.9.131,wno5psgx,1131203697460,8892525622,DQ3WnOgGJjy5u7Hbp0XnBu..,application/sdp,Avaya one-X Deskphone,185.107.83.35,36883,5060,185.107.83.35,5060,1
sip:90031203697460@13.57.9.131:5060;transport=UDP,90031203697460,13.57.9.131,8892525622,13.57.9.131,jaye3azq,90031203697460,8892525622,UWdJsI01ih8nuFgpQOjDOm..,application/sdp,Avaya one-X Deskphone,185.107.83.35,22883,5060,185.107.83.35,5060,1
sip:901131203697460@13.57.9.131:5060;transport=UDP,901131203697460,13.57.9.131,8892525622,13.57.9.131,50za9v66,901131203697460,8892525622,N6RvHnxmxoxCOodb17Ykqo..,application/sdp,Avaya one-X Deskphone,185.107.83.35,32190,5060,185.107.83.35,5060,1
sip:00031203697460@13.57.9.131:5060;transport=UDP,31203697460,13.57.9.131,8892525622,13.57.9.131,6ilbyxle,31203697460,8892525622,Rbot12o4RKCfDQvB0ZQ2nx..,application/sdp,Avaya one-X Deskphone,185.107.83.35,35398,5060,185.107.83.35,5060,1
sip:000031203697460@13.57.9.131:5060;transport=UDP,31203697460,13.57.9.131,8892525622,13.57.9.131,0qv33n1k,31203697460,8892525622,LmP6UWM219zuxIXmfxAk4x..,application/sdp,Avaya one-X Deskphone,185.107.83.35,21563,5060,185.107.83.35,5060,1
sip:900031203697460@13.57.9.131:5060;transport=UDP,900031203697460,13.57.9.131,8892525622,13.57.9.131,nribjb6a,900031203697460,8892525622,kHQ2yf206YT91AeQPZh36K..,application/sdp,Avaya one-X Deskphone,185.107.83.35,11817,5060,185.107.83.35,5060,1
sip:10031203697460@13.57.9.131:5060;transport=UDP,10031203697460,13.57.9.131,8892525622,13.57.9.131,zmki21wq,10031203697460,8892525622,cjNoFr1CAfEvi9bYaNrLIG..,application/sdp,Avaya one-X Deskphone,185.107.83.35,8497,5060,185.107.83.35,5060,1
sip:110031203697460@13.57.9.131:5060;transport=UDP,110031203697460,13.57.9.131,8892525622,13.57.9.131,dkqmzedi,110031203697460,8892525622,4xauGwYwzWkTDUbeFscwix..,application/sdp,Avaya one-X Deskphone,185.107.83.35,43238,5060,185.107.83.35,5060,1
sip:+0031203697460@13.57.9.131:5060;transport=UDP,+0031203697460,13.57.9.131,8892525622,13.57.9.131,z3w7t4rc,+0031203697460,8892525622,ozJgi9a7Sx1G0VxFDf9IG2..,application/sdp,Avaya one-X Deskphone,185.107.83.35,51516,5060,185.107.83.35,5060,1
sip:+01131203697460@13.57.9.131:5060;transport=UDP,+01131203697460,13.57.9.131,8892525622,13.57.9.131,srjnh9a8,+01131203697460,8892525622,PxsxGywDznnpwwVCZz5tsR..,application/sdp,Avaya one-X Deskphone,185.107.83.35,17040,5060,185.107.83.35,5060,1
sip:00+31203697460@13.57.9.131:5060;transport=UDP,00+31203697460,13.57.9.131,8892525622,13.57.9.131,bc0kdj1h,00+31203697460,8892525622,6Vkuyl6vUxCI9CoefV37Wc..,application/sdp,Avaya one-X Deskphone,185.107.83.35,14207,5060,185.107.83.35,5060,1
sip:011+31203697460@13.57.9.131:5060;transport=UDP,011+31203697460,13.57.9.131,8892525622,13.57.9.131,rf9eu3m1,011+31203697460,8892525622,pgPNkquUgZVYEMv7e31uLv..,application/sdp,Avaya one-X Deskphone,185.107.83.35,21451,5060,185.107.83.35,5060,1
sip:++31203697460@13.57.9.131:5060;transport=UDP,++31203697460,13.57.9.131,8892525622,13.57.9.131,viswsvab,++31203697460,8892525622,XICHdQ4DJhDXRLsVTOToNO..,application/sdp,Avaya one-X Deskphone,185.107.83.35,14098,5060,185.107.83.35,5060,1
sip:000390662279016@13.57.9.131,390662279016,13.57.9.131,test,13.57.9.131,2592ccae,390662279016,test,08d21712841debd140ce22521c7a76c5,application/sdp,FreePBX 1.8,145.239.244.97,5090,5060,145.239.244.97,5090,1
sip:+90031203697460@13.57.9.131:5060;transport=UDP,+90031203697460,13.57.9.131,8892525622,13.57.9.131,b4aiklsd,+90031203697460,8892525622,bDZz20n3WH5ITKJH5YrFl0..,application/sdp,Avaya one-X Deskphone,185.107.83.35,38058,5060,185.107.83.35,5060,1
sip:+901131203697460@13.57.9.131:5060;transport=UDP,+901131203697460,13.57.9.131,8892525622,13.57.9.131,m06r9yvt,+901131203697460,8892525622,8FfPWjOITsczCZzyBdIjdj..,application/sdp,Avaya one-X Deskphone,185.107.83.35,38060,5060,185.107.83.35,5060,1
sip:81031203697460@13.57.9.131:5060;transport=UDP,81031203697460,13.57.9.131,or''=',13.57.9.131,0kgmuys2,81031203697460,or''=',qeDOSGgq0L9VNN1WFBcygC..,application/sdp,Avaya one-X Deskphone,185.107.83.35,14127,5060,185.107.83.35,5060,1
sip:990031203697460@13.57.9.131:5060;transport=UDP,990031203697460,13.57.9.131,or''=',13.57.9.131,8a5a0yfb,990031203697460,or''=',JrrOt86x6uDJufAf4s6wbx..,application/sdp,Avaya one-X Deskphone,185.107.83.35,13176,5060,185.107.83.35,5060,1
sip:880031203697460@13.57.9.131:5060;transport=UDP,880031203697460,13.57.9.131,or''=',13.57.9.131,ln165xds,880031203697460,or''=',TIOLy21xI1LQ1FuKALznNu..,application/sdp,Avaya one-X Deskphone,185.107.83.35,21972,5060,185.107.83.35,5060,1
sip:9901131203697460@13.57.9.131:5060;transport=UDP,9.90113E+15,13.57.9.131,or''=',13.57.9.131,uprsgkwv,9.90113E+15,or''=',Gj3jm15YZq116Qjho7uiMQ..,application/sdp,Avaya one-X Deskphone,185.107.83.35,51751,5060,185.107.83.35,5060,1
sip:8801131203697460@13.57.9.131:5060;transport=UDP,8.80113E+15,13.57.9.131,or''=',13.57.9.131,l7hagcqf,8.80113E+15,or''=',vcGmuOOHf6G7X802GUfAdZ..,application/sdp,Avaya one-X Deskphone,185.107.83.35,13455,5060,185.107.83.35,5060,1
sip:0110031203697460@13.57.9.131:5060;transport=UDP,110031203697460,13.57.9.131,or''=',13.57.9.131,f27dmdqo,110031203697460,or''=',UsQixyKHwMrqUVPX2UfNXr..,application/sdp,Avaya one-X Deskphone,185.107.83.35,44438,5060,185.107.83.35,5060,1
sip:001131203697460@13.57.9.131:5060;transport=UDP,1131203697460,13.57.9.131,or''=',13.57.9.131,sfhenmwn,1131203697460,or''=',W92wREldnnhVvRit2EbD5T..,application/sdp,Avaya one-X Deskphone,185.107.83.35,19919,5060,185.107.83.35,5060,1
sip:9001131203697460@13.57.9.131:5060;transport=UDP,9.00113E+15,13.57.9.131,or''=',13.57.9.131,617crv3m,9.00113E+15,or''=',5obXJuW0SLrbvxfoYRkR0r..,application/sdp,Avaya one-X Deskphone,185.107.83.35,19041,5060,185.107.83.35,5060,1
sip:0001131203697460@13.57.9.131:5060;transport=UDP,1131203697460,13.57.9.131,or''=',13.57.9.131,9skdczg9,1131203697460,or''=',u3SsD0x4RrrAv44vXLGpcl..,application/sdp,Avaya one-X Deskphone,185.107.83.35,16089,5060,185.107.83.35,5060,1
sip:00131203697460@13.57.9.131:5060;transport=UDP,131203697460,13.57.9.131,or''=',13.57.9.131,kbkvac5z,131203697460,or''=',NpV5eQHa59tXiBSsiAPjHD..,application/sdp,Avaya one-X Deskphone,185.107.83.35,47337,5060,185.107.83.35,5060,1
sip:931203697460@13.57.9.131:5060;transport=UDP,931203697460,13.57.9.131,or''=',13.57.9.131,poo6ma0j,931203697460,or''=',uPsR6wF92WXsKnq5zLAJA0..,application/sdp,Avaya one-X Deskphone,185.107.83.35,44935,5060,185.107.83.35,5060,1
sip:00231203697460@13.57.9.131:5060;transport=UDP,231203697460,13.57.9.131,or''=',13.57.9.131,dm0crdyx,231203697460,or''=',jBLkynpvFQEgSAJZSSRxjy..,application/sdp,Avaya one-X Deskphone,185.107.83.35,40623,5060,185.107.83.35,5060,1
sip:+931203697460@13.57.9.131:5060;transport=UDP,+931203697460,13.57.9.131,or''=',13.57.9.131,pqbs87n9,+931203697460,or''=',VMV7gPMYyd6SlMLBPYZwXD..,application/sdp,Avaya one-X Deskphone,185.107.83.35,42033,5060,185.107.83.35,5060,1
sip:9+31203697460@13.57.9.131:5060;transport=UDP,9+31203697460,13.57.9.131,or''=',13.57.9.131,t5otfqbu,9+31203697460,or''=',HMtQD4E8Nz9gN1sg25O3GV..,application/sdp,Avaya one-X Deskphone,185.107.83.35,40665,5060,185.107.83.35,5060,1
sip:9+0031203697460@13.57.9.131:5060;transport=UDP,9+0031203697460,13.57.9.131,or''=',13.57.9.131,12vrldtv,9+0031203697460,or''=',oJjFjYtOTTY4Uuxr9LlyPe..,application/sdp,Avaya one-X Deskphone,185.107.83.35,13802,5060,185.107.83.35,5060,1
sip:900+31203697460@13.57.9.131:5060;transport=UDP,900+31203697460,13.57.9.131,or''=',13.57.9.131,xs5uue6s,900+31203697460,or''=',DHyOeKSu1e0ji5kYQWT70P..,application/sdp,Avaya one-X Deskphone,185.107.83.35,37973,5060,185.107.83.35,5060,1
sip:00931203697460@13.57.9.131:5060;transport=UDP,931203697460,13.57.9.131,or''=',13.57.9.131,ibtal60s,931203697460,or''=',CYenbMUWTu3DM9tV5fl47o..,application/sdp,Avaya one-X Deskphone,185.107.83.35,35290,5060,185.107.83.35,5060,1
sip:009+31203697460@13.57.9.131:5060;transport=UDP,009+31203697460,13.57.9.131,or''=',13.57.9.131,b6nm1hp8,009+31203697460,or''=',iK4bMr6GEUt4cGpexP3eaC..,application/sdp,Avaya one-X Deskphone,185.107.83.35,18340,5060,185.107.83.35,5060,1
sip:+131203697460@13.57.9.131:5060;transport=UDP,+131203697460,13.57.9.131,or''=',13.57.9.131,a8q6skmr,+131203697460,or''=',NmWMubPy64iFXvpx6nAp2X..,application/sdp,Avaya one-X Deskphone,185.107.83.35,50132,5060,185.107.83.35,5060,1
sip:1+31203697460@13.57.9.131:5060;transport=UDP,1+31203697460,13.57.9.131,or''=',13.57.9.131,fjqh326s,1+31203697460,or''=',0UJ49DeQMXZhjhA4DqMY92..,application/sdp,Avaya one-X Deskphone,185.107.83.35,31496,5060,185.107.83.35,5060,1
sip:1.31203697460@13.57.9.131:5060;transport=UDP,1.312036975,13.57.9.131,or''=',13.57.9.131,95tfs5dv,1.312036975,or''=',sKCTGCdebOUMHPXu1VsgEM..,application/sdp,Avaya one-X Deskphone,185.107.83.35,39273,5060,185.107.83.35,5060,1
sip:01231203697460@13.57.9.131:5060;transport=UDP,1231203697460,13.57.9.131,or''=',13.57.9.131,0uyy0hte,1231203697460,or''=',wCp7Q80DdNVsbRGxg5uwW3..,application/sdp,Avaya one-X Deskphone,185.107.83.35,8598,5060,185.107.83.35,5060,1
sip:01101231203697460@13.57.9.131:5060;transport=UDP,1.10123E+15,13.57.9.131,or''=',13.57.9.131,4lhdqiyj,1.10123E+15,or''=',IUpVvauRCx9OtemLyMLHku..,application/sdp,Avaya one-X Deskphone,185.107.83.35,12562,5060,185.107.83.35,5060,1
sip:901231203697460@13.57.9.131:5060;transport=UDP,901231203697460,13.57.9.131,or''=',13.57.9.131,xbltp4th,901231203697460,or''=',y2qmDdAv7DSnKvJ8nGt4Hl..,application/sdp,Avaya one-X Deskphone,185.107.83.35,49098,5060,185.107.83.35,5060,1
sip:0000031203697460@13.57.9.131:5060;transport=UDP,31203697460,13.57.9.131,or''=',13.57.9.131,g3t98saz,31203697460,or''=',L5Uv2QiAoHbF0OYx6d4Pad..,application/sdp,Avaya one-X Deskphone,185.107.83.35,45056,5060,185.107.83.35,5060,1
sip:*31203697460@13.57.9.131:5060;transport=UDP,*31203697460,13.57.9.131,or''=',13.57.9.131,8m4r7v9h,*31203697460,or''=',MLpKcXb62wrsk8yuc6X9qb..,application/sdp,Avaya one-X Deskphone,185.107.83.35,31266,5060,185.107.83.35,5060,1
sip:011972592277524@13.57.9.131,11972592277524,13.57.9.131,1113579131,13.57.9.131,2079906941,11972592277524,1113579131,1070006304-859216878-1367662303,application/sdp,pplsip,51.15.144.191,49346,5060,212.129.10.158,49346,1
sip:*0031203697460@13.57.9.131:5060;transport=UDP,*0031203697460,13.57.9.131,or''=',13.57.9.131,1i3tlibz,*0031203697460,or''=',ntSU4rB0GEwqr85SxFgp0F..,application/sdp,Avaya one-X Deskphone,185.107.83.35,32066,5060,185.107.83.35,5060,1
sip:+972592277524@13.57.9.131,+972592277524,13.57.9.131,+13579131,13.57.9.131,615826692,+972592277524,+13579131,767112605-1161438703-1129108218,application/sdp,pplsip,51.15.144.191,55553,5060,212.129.10.158,55553,1
sip:9011972592277524@13.57.9.131,9011972592277524,13.57.9.131,901113579131,13.57.9.131,28789226,9011972592277524,901113579131,1542550488-1817509999-1848500221,application/sdp,pplsip,51.15.144.191,57314,5060,212.129.10.158,57314,1
sip:00*31203697460@13.57.9.131:5060;transport=UDP,00*31203697460,13.57.9.131,or''=',13.57.9.131,086gf4gn,00*31203697460,or''=',ePkacgDqgIleZ6dAg6Nglt..,application/sdp,Avaya one-X Deskphone,185.107.83.35,31290,5060,185.107.83.35,5060,1
sip:8011972592277524@13.57.9.131,8011972592277524,13.57.9.131,801113579131,13.57.9.131,2080456970,8011972592277524,801113579131,466701508-1632610208-1561475456,application/sdp,pplsip,51.15.144.191,59655,5060,212.129.10.158,59655,1
sip:7011972592277524@13.57.9.131,7011972592277524,13.57.9.131,701113579131,13.57.9.131,373925386,7011972592277524,701113579131,690147830-1109775438-2034185520,application/sdp,pplsip,51.15.144.191,61503,5060,212.129.10.158,61503,1
sip:*+31203697460@13.57.9.131:5060;transport=UDP,*+31203697460,13.57.9.131,or''=',13.57.9.131,pvs792ad,*+31203697460,or''=',wcuHESjK2GrxFDB4lT2J9M..,application/sdp,Avaya one-X Deskphone,185.107.83.35,44459,5060,185.107.83.35,5060,1
sip:6011972592277524@13.57.9.131,6011972592277524,13.57.9.131,601113579131,13.57.9.131,10927169,6011972592277524,601113579131,1160533239-784174261-697465053,application/sdp,pplsip,51.15.144.191,54478,5060,212.129.10.158,54478,1
sip:5011972592277524@13.57.9.131,5011972592277524,13.57.9.131,501113579131,13.57.9.131,2051073818,5011972592277524,501113579131,2098794842-1779094433-529202740,application/sdp,pplsip,51.15.144.191,56228,5060,212.129.10.158,56228,1
sip:+*31203697460@13.57.9.131:5060;transport=UDP,+*31203697460,13.57.9.131,or''=',13.57.9.131,7qx3jcw8,+*31203697460,or''=',EbeIanyGWeUYwLB6eBq1AE..,application/sdp,Avaya one-X Deskphone,185.107.83.35,15364,5060,185.107.83.35,5060,1
